country,InternetUsers,LifeExpectancy,GDPPerCapita,HealthSpending,CO2Emissions,LabourForceParticipation,DeadKidsPerWoman
Albania,0.0814,74.4,5100,28.1,0.958,67.8,0.132
Algeria,0.2,73.5,9970,45.5,2.99,46.4,0.225
Andorra,7.64,81.5,31900,942,7.98,,
Argentina,3.28,73.9,15200,400,4.01,68.7,0.144
Armenia,0.971,71.2,2740,9.63,0.976,61.5,0.106
Australia,40.8,79.4,34400,1190,17.2,73.5,0.0562
Azerbaijan,0.0992,66.1,4050,5.62,3.55,67.7,0.244
Bangladesh,0.0362,65.2,1590,22.3,0.196,58.6,0.436
Belarus,0.495,68.1,7120,56.6,5.62,69.8,0.125
Bosnia,0.194,74.4,6010,61.9,2.76,56.6,0.082
Brazil,2.04,71.1,11100,103,1.85,68.3,0.199
Bulgaria,2.91,71.5,8490,63.9,5.45,62.6,0.0822
Burkina Faso,0.0618,51.8,1060,5.47,0.0825,79.9,1.87
Canada,36.2,79,35900,1360,16.9,75.9,0.0542
Chile,4.1,76.9,13800,158,4.08,60.3,0.0999
China,0.708,69.7,3440,15.8,2.6,82.9,0.133
Colombia,1.7,73,8070,157,1.42,62.3,0.202
Croatia,4.41,73.6,14700,325,4.49,64.4,0.0754
Cyprus,11.3,76.6,28800,333,6.89,68.2,0.0686
Czech Rep.,6.83,74.7,20200,347,10.9,71.7,0.0585
Dominican Republic,1.1,73,7660,50.7,2.2,67.9,0.221
Ecuador,0.823,74,7440,25.6,1.73,69.9,0.187
Egypt,0.29,69.4,7140,29.4,1.83,49,0.334
El Salvador,0.845,71.9,6280,72.9,0.978,64.7,0.254
Estonia,14.5,70.5,14300,196,10.8,70.5,0.099
Ethiopia,0.0125,51.1,600,2.1,0.0488,82.8,1.77
Finland,32.3,77.4,33100,1330,10.7,73.9,0.0667
France,9.13,78.9,33800,1950,6.22,68.7,0.063
Georgia,0.416,71.5,3180,6.65,0.91,69.1,0.125
Germany,20.8,77.6,35800,2150,10.1,71.6,0.0516
Ghana,0.105,59.3,2230,10.3,0.354,75.6,0.935
Haiti,0.0707,56.4,1750,8.17,0.158,64.2,0.878
Hungary,5.86,71.5,17100,250,5.74,59.2,0.101
India,0.273,62,2450,5.1,0.963,61.5,0.528
Indonesia,0.444,67,5610,5.25,1.16,69.5,0.313
Iran,0.379,71.6,11400,75.3,5.88,44.8,0.213
Iraq,,66,12400,0.48,3.16,43.5,0.401
Italy,14.4,79.2,35200,1160,7.73,59.5,0.0429
