name,group,"Cultural","Charitable","Religious","Environmental","Labour Unions","Political Party","Professional","Sport and Rec"
"Sample Average","Sample Average",9.4,2.8,20.4,5.3,4.5,6.1,4.1,10.9
"Albania","Europe",9.8,2.4,14.6,7,4.4,11.4,7.2,8.2
"Algeria","Africa",11.9,5.5,13.5,6,-,5.8,8.9,14.7
"Argentina","South America",3.8,0.3,9.2,1.4,0.7,3.1,1,2.6
"Bangladesh","Asia",28.5,10.7,40.5,19.4,13.9,22.9,-,25
"Bosnia Herzegovina","Europe",2.7,0.3,4.5,1.5,1.9,3.1,1.1,7.2
"Canada","North America",11.2,2.5,18.4,4.4,3.4,2.7,6.1,12.9
"Chile","South America",7,1.6,16.5,2,2.4,1.8,2.3,12
"China","Asia",16.4,4.6,4.3,27.7,7.2,9.9,3.6,12.7
"India","Asia",11.6,2.2,14.3,5.3,6.6,8.2,5.6,8.9
"Japan","Asia",3.9,0.3,3.2,1.2,0.6,1.2,1.3,3.3
"South Korea","Asia",8.5,1.3,26.9,4.5,2.4,2.2,4.1,11.8
"Kyrgyzstan","Asia",2.8,1.1,1.3,1.2,3.4,1,1.2,2.3
"Mexico","North America",5.3,1.4,19.6,3,2.3,3.5,1.5,7.1
"Peru","South America",9.5,1.6,20.3,2.2,2.7,3.3,3.2,8.2
"Moldova","Europe",9,2.2,15.7,4.2,7.9,5,3.8,4.1
"Philippines","Asia",4,5.3,29.6,8.8,3.3,4,2.4,12.2
"Puerto Rico","Central America",7.8,1.5,30.7,2.5,2.1,4.2,5.7,5.1
"Singapore","Asia",6.4,0.6,12,1.2,1.1,0.3,0.8,6.1
"Vietnam","Asia",15.8,1.3,9.6,7.9,9.8,23.8,10.4,18.1
"South Africa","Africa",7.1,1.3,37.4,1.5,4.9,6.2,1.9,15.3
"Zimbabwe","Africa",4.1,0.5,54,1.2,1.1,4.7,2.2,3.8
"Spain","Europe",2.8,1.5,4.4,1.2,1.5,1.3,0.6,2.8
"Sweden","Europe",11.3,4.5,23.4,3.8,10.3,4.4,4.3,17.6
"Uganda","Africa",16.3,3,38.7,8,4,6.1,4.7,20.4
"Macedonia","Europe",7.1,2,8.5,3.1,1.7,8.1,2.8,8.7
"Tanzania","Africa",25.5,19.6,61.9,21.1,20.7,21.3,20.3,30.5
"United States","North America",19.8,2.9,38,8.5,3.2,7,10.8,18.7
"Serbia","Europe",0.8,0.2,1.2,0.3,1.9,1.2,0.8,3.4
"Montenegro","Europe",2.6,0.4,1.7,2.5,1.2,2.9,1.7,5.4
